[2026-09-21 16:32:41.752] [info] Operating system: Windows
[2026-09-21 16:33:01.484] [info] [R33D-OP] op=103(0x67) unread=84
[2026-09-21 16:33:01.733] [info] [R33D-OP] op=109(0x6D) unread=11
[2026-09-21 16:33:03.733] [info] [R33D-OP] op=109(0x6D) unread=11
[2026-09-21 16:33:05.733] [info] [R33D-OP] op=109(0x6D) unread=11
[2026-09-21 16:33:07.733] [info] [R33D-OP] op=109(0x6D) unread=11
[2026-09-21 16:33:08.683] [info] [R33D-OP] op=109(0x6D) unread=182
[2026-09-21 16:33:08.683] [info] [R33D-OP] op=102(0x66) unread=170
[2026-09-21 16:33:09.183] [info] [R33D-OP] op=109(0x6D) unread=178
[2026-09-21 16:33:09.183] [info] [R33D-OP] op=102(0x66) unread=166
[2026-09-21 16:33:09.733] [info] [R33D-OP] op=109(0x6D) unread=11
[2026-09-21 16:33:11.733] [info] [R33D-OP] op=109(0x6D) unread=11
[2026-09-21 16:33:13.733] [info] [R33D-OP] op=109(0x6D) unread=11
[2026-09-21 16:33:15.732] [info] [R33D-OP] op=109(0x6D) unread=11
[2026-09-21 16:33:17.732] [info] [R33D-OP] op=109(0x6D) unread=11
[2026-09-21 16:33:18.383] [info] [R33D-OP] op=109(0x6D) unread=212
[2026-09-21 16:33:18.383] [info] [R33D-OP] op=101(0x65) unread=200
[2026-09-21 16:33:18.883] [info] [R33D-OP] op=109(0x6D) unread=186
[2026-09-21 16:33:18.883] [info] [R33D-OP] op=102(0x66) unread=174
[2026-09-21 16:33:19.383] [info] [R33D-OP] op=109(0x6D) unread=192
[2026-09-21 16:33:19.383] [info] [R33D-OP] op=102(0x66) unread=180
[2026-09-21 16:33:19.733] [info] [R33D-OP] op=109(0x6D) unread=11
[2026-09-21 16:33:19.885] [info] [R33D-OP] op=109(0x6D) unread=190
[2026-09-21 16:33:19.885] [info] [R33D-OP] op=102(0x66) unread=178
[2026-09-21 16:33:19.982] [info] [R33D-OP] op=106(0x6A) unread=34
[2026-09-21 16:33:21.734] [info] [R33D-OP] op=109(0x6D) unread=11
[2026-09-21 16:33:21.983] [info] [R33D-OP] op=109(0x6D) unread=11
[2026-09-21 16:33:23.733] [info] [R33D-OP] op=109(0x6D) unread=11
[2026-09-21 16:33:23.983] [info] [R33D-OP] op=109(0x6D) unread=11
[2026-09-21 16:33:25.733] [info] [R33D-OP] op=109(0x6D) unread=11
[2026-09-21 16:33:25.983] [info] [R33D-OP] op=109(0x6D) unread=11
[2026-09-21 16:33:27.733] [info] [R33D-OP] op=109(0x6D) unread=11
[2026-09-21 16:33:27.983] [info] [R33D-OP] op=109(0x6D) unread=11
[2026-09-21 16:33:28.633] [info] [R33D-OP] op=109(0x6D) unread=212
[2026-09-21 16:33:28.633] [info] [R33D-OP] op=102(0x66) unread=200
[2026-09-21 16:33:29.133] [info] [R33D-OP] op=109(0x6D) unread=132
[2026-09-21 16:33:29.133] [info] [R33D-OP] op=102(0x66) unread=120
[2026-09-21 16:33:29.633] [info] [R33D-OP] op=109(0x6D) unread=114
[2026-09-21 16:33:29.634] [info] [R33D-OP] op=102(0x66) unread=102
[2026-09-21 16:33:29.732] [info] [R33D-OP] op=109(0x6D) unread=11
[2026-09-21 16:33:29.983] [info] [R33D-OP] op=109(0x6D) unread=11
[2026-09-21 16:33:30.133] [info] [R33D-OP] op=109(0x6D) unread=112
[2026-09-21 16:33:30.133] [info] [R33D-OP] op=102(0x66) unread=100
[2026-09-21 16:33:30.635] [info] [R33D-OP] op=109(0x6D) unread=116
[2026-09-21 16:33:30.635] [info] [R33D-OP] op=102(0x66) unread=104
[2026-09-21 16:33:30.933] [info] [R33D-OP] op=163(0xA3) unread=35
[2026-09-21 16:33:30.933] [info] [R33D-OP] op=180(0xB4) unread=34
[2026-09-21 16:33:30.933] [info] [R33D] MSG mode=19 You may not attack this person.
[2026-09-21 16:33:31.132] [info] [R33D-OP] op=109(0x6D) unread=108
[2026-09-21 16:33:31.132] [info] [R33D-OP] op=102(0x66) unread=96
[2026-09-21 16:33:31.634] [info] [R33D-OP] op=109(0x6D) unread=114
[2026-09-21 16:33:31.634] [info
